Task_Definition,Keyword,Dataset_ID,Sample_Input,Sample_Output,Judge_Score,Judge_Solvable
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,DarthJudie/Algebra2,Example 3 Subtracting polynomials   Algebra I   Khan Academy.mp3,"So this first part, I'm not going to change it. That's still just 16x plus 14. But now I'm going to distribute the negative sign here. So negative 1 times 3x squared is negative 3x squared. Negative 1 times positive x is negative x, because that's positive 1x. Negative 1 times negative 9, remember you have to consider this negative right over there. That is part of the term.","{'Relevance': 2, 'Correctness': 3, 'Helpfulness': 2, 'Clarity': 3, 'Difficulty': 2}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,DarthJudie/Algebra2,Example 3 Subtracting polynomials   Algebra I   Khan Academy.mp3,"So negative 1 times 3x squared is negative 3x squared. Negative 1 times positive x is negative x, because that's positive 1x. Negative 1 times negative 9, remember you have to consider this negative right over there. That is part of the term. Negative 1 times negative 9 is positive 9. Negative times a negative is a positive. So then we have positive 9.","{'Relevance': 2, 'Correctness': 7, 'Helpfulness': 3, 'Clarity': 4, 'Difficulty': 2}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,DarthJudie/Algebra2,Example 3 Subtracting polynomials   Algebra I   Khan Academy.mp3,That is part of the term. Negative 1 times negative 9 is positive 9. Negative times a negative is a positive. So then we have positive 9. And now we just have to combine like terms. So what's our highest degree term here? I like to write it in that order.,"{'Relevance': 2, 'Correctness': 3, 'Helpfulness': 2, 'Clarity': 2, 'Difficulty': 1}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,sunyiyou/math_algebra_polynomial_roots_7B_train,"[{'content': 'Let t(w) be the second derivative of 847*w**5/20 - 275*w**4/4 + 87*w**3/2 - 27*w**2/2 - w. Let t(y) = 0. Calculate the second largest root as n/m where n and m are coprime integers. What is n + m?\n\nPresent the answer in LaTex format: \\boxed{Your answer}', 'role': 'user'}]",14,"{'Relevance': 2, 'Correctness': 0, 'Helpfulness': 1, 'Clarity': 3, 'Difficulty': 9}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,sunyiyou/math_algebra_polynomial_roots_7B_train,"[{'content': 'Let w(m) be the third derivative of -91*m**6/4 + 817*m**5/20 + 627*m**4/8 + 45*m**3 + 11*m**2 - 6. Suppose w(o) = 0. Express the second largest root as n/m where n and m are coprime and return n + m.\n\nPresent the answer in LaTex format: \\boxed{Your answer}', 'role': 'user'}]",10,"{'Relevance': 8, 'Correctness': 2, 'Helpfulness': 3, 'Clarity': 4, 'Difficulty': 9}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,sunyiyou/math_algebra_polynomial_roots_7B_train,"[{'content': 'Let p(c) = c**3 + 2. Let x(k) = -1435*k**3 - 2348*k**2 - 1194*k - 190. Let j(a) = -5*p(a) - x(a). For the polynomial j(f), find the second largest root in the form n/m where n and m are coprime integers. What is n + m?\n\nPresent the answer in LaTex format: \\boxed{Your answer}', 'role': 'user'}]",2,"{'Relevance': 9, 'Correctness': 2, 'Helpfulness': 2, 'Clarity': 4, 'Difficulty': 9}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,sunyiyou/math_algebra_polynomial_roots_7B_train,"[{'content': 'For the polynomial 1755/8*n + 405/8 - 585/8*n**2 - 5775/8*n**3, find the second largest root in the form n/m where n and m are coprime integers. What is n + m?\n\nPresent the answer in LaTex format: \\boxed{Your answer}', 'role': 'user'}]",8,"{'Relevance': 9, 'Correctness': 2, 'Helpfulness': 2, 'Clarity': 7, 'Difficulty': 9}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,sunyiyou/math_algebra_polynomial_roots_7B_train,"[{'content': 'Let b(t) = -351*t**3 + 654*t**2 - 103*t - 97. Let d(a) = a**3 + a**2 + a - 2. Let o(f) = 5*b(f) + 5*d(f). Let o(n) = 0. Find the second largest root in the form of n/m where n and m are coprime to each other. Return n + m.\n\nPresent the answer in LaTex format: \\boxed{Your answer}', 'role': 'user'}]",8,"{'Relevance': 2, 'Correctness': 1, 'Helpfulness': 1, 'Clarity': 3, 'Difficulty': 9}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,Shalyt/ASyMOB-Algebraic_Symbolic_Mathematical_Operations_Benchmark,Compute the first 5 nonzero terms (not necessarily a quadratic polynomial) of the Maclaurin series of $ f(x) = e^{\sin(x)} $,1+x+\frac{x^2}{2}-\frac{x^4}{8}-\frac{x^5}{15}+\cdots,"{'Relevance': '2', 'Correctness': '9', 'Helpfulness': '3', 'Clarity': '8', 'Difficulty': '9'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,Shalyt/ASyMOB-Algebraic_Symbolic_Mathematical_Operations_Benchmark,Find the (infinite) power series of $f(x) \cdot g(x)$ for given $f(x) = \sum_{n=1}^\infty \left(n \cdot x^n\right)$ and $g(x) = \sum_{n=1}^\infty \left(n \cdot x^n\right)$,\sum_{n=2}^\infty\left(\frac{1}{6}\cdot n\cdot\left(n^2-1\right)\cdot x^n\right),"{'Relevance': '3', 'Correctness': '2', 'Helpfulness': '2', 'Clarity': '4', 'Difficulty': '9'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,Shalyt/ASyMOB-Algebraic_Symbolic_Mathematical_Operations_Benchmark,Compute the first 6 nonzero terms of the Maclaurin series of $f(x) = \sin(x) \cdot \cos\left(\frac{ \pi }{ 4 }\right) + \cos(x) \cdot \sin\left(\frac{ \pi }{ 4 }\right)$,\frac{1}{34560\cdot\sqrt{2}}\cdot\left(288\cdot x^5+1440\cdot x^4-5760\cdot x^3-17280\cdot x^2+34560\cdot x+34560\right),"{'Relevance': '2', 'Correctness': '0', 'Helpfulness': '1', 'Clarity': '6', 'Difficulty': '10'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,Shalyt/ASyMOB-Algebraic_Symbolic_Mathematical_Operations_Benchmark,Compute the first 4 nonzero terms of the Maclaurin series of $f(x) = e^x \cdot \cos(x)$,1+x-\frac{x^3}{3}-\frac{x^4}{6},"{'Relevance': '2', 'Correctness': '0', 'Helpfulness': '1', 'Clarity': '8', 'Difficulty': '9'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",algebra,Shalyt/ASyMOB-Algebraic_Symbolic_Mathematical_Operations_Benchmark,Compute $\lim_{x \to 0}\left(\frac{ 2 \cdot \cos(x)+4 }{ 5 \cdot x^3 \cdot \sin(x) }-\frac{ 6 }{ 5 \cdot x^4 }\right)$,\frac{1}{150},"{'Relevance': '3', 'Correctness': '10', 'Helpfulness': '4', 'Clarity': '8', 'Difficulty': '2'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",geometry,LibraTree/geometry3k,"In \odot K, M N = 16 and m \widehat M N = 98. Find the measure of L N. Round to the nearest hundredth.",C,"{'Relevance': 8, 'Correctness': 2, 'Helpfulness': 2, 'Clarity': 7, 'Difficulty': 6}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",geometry,LibraTree/geometry3k,Find TQ.,B,"{'Relevance': 2, 'Correctness': 1, 'Helpfulness': 1, 'Clarity': 3, 'Difficulty': 2}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",geometry,LibraTree/geometry3k,Find CB. Round side measure to the nearest tenth.,D,"{'Relevance': 2, 'Correctness': 1, 'Helpfulness': 1, 'Clarity': 3, 'Difficulty': 2}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",geometry,LibraTree/geometry3k,Find the area of the shaded region (the region inside the circle A but outside the triangle BCD). Assume that all polygons that appear to be regular are regular. Round to the nearest tenth.,A,"{'Relevance': '2', 'Correctness': '0', 'Helpfulness': '1', 'Clarity': '6', 'Difficulty': '2'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",geometry,LibraTree/geometry3k,"Chords A C and D F are equidistant from the center. If the radius of \odot G is 26, find D E.",C,"{'Relevance': 8, 'Correctness': 2, 'Helpfulness': 2, 'Clarity': 5, 'Difficulty': 7}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",geometry,DarthJudie/Geometry,"Cylinder volume and surface area   Perimeter, area, and volume   Geometry   Khan Academy.mp3","Let's find the volume of a few more solid figures, and then if we have time, we might be able to do some surface area problems. So let me draw a cylinder over here. So that is the top of my cylinder, and then this is the height of my cylinder. This is the bottom right over here. If this was transparent, maybe you could see the backside of the cylinder. So you can imagine this kind of looks like a soda can. And let's say that the height of my cylinder H is equal to 8.","{'Relevance': 2, 'Correctness': 1, 'Helpfulness': 1, 'Clarity': 3, 'Difficulty': 2}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",geometry,DarthJudie/Geometry,"Cylinder volume and surface area   Perimeter, area, and volume   Geometry   Khan Academy.mp3","This is the bottom right over here. If this was transparent, maybe you could see the backside of the cylinder. So you can imagine this kind of looks like a soda can. And let's say that the height of my cylinder H is equal to 8. I'll give it some units. 8 centimeters. That is my height.","{'Relevance': 2, 'Correctness': 1, 'Helpfulness': 1, 'Clarity': 3, 'Difficulty': 2}",Unknown
